symbol,timeframe,left_path,right_path,relation,overlap_or_gap_seconds
TACUSDT,15m,TACUSDT_15m_limit500_20260707_180859_enriched_candles.jsonl,TACUSDT_15m_limit500_20260708_180203_enriched_candles.csv,PARTIAL_OVERLAP,361800
TACUSDT,15m,TACUSDT_15m_limit500_20260708_180128_enriched_candles.csv,TACUSDT_15m_limit500_20260708_180203_enriched_candles.csv,EXACT_COVERAGE,0
TACUSDT,5m,TACUSDT_5m_limit20_20260709_173836_enriched_candles.csv,TACUSDT_5m_limit50_20260709_180653_enriched_candles.csv,B_CONTAINS_A,0
TAGUSDT,5m,TAGUSDT_5m_limit100_20260709_141454_enriched_candles.csv,TAGUSDT_5m_limit50_20260709_180730_enriched_candles.csv,PARTIAL_OVERLAP,300
TLMUSDT,15m,TLMUSDT_15m_limit100_20260704_181750_enriched_candles.csv,TLMUSDT_15m_limit500_20260719_171030_enriched_candles.csv,GAP,843300
TLMUSDT,5m,TLMUSDT_5m_limit100_20260701_200402_enriched_candles.csv,TLMUSDT_5m_limit100_20260703_201211_enriched_candles.csv,GAP,144000
TLMUSDT,5m,TLMUSDT_5m_limit100_20260701_200402_enriched_candles.csv,TLMUSDT_5m_limit500_20260719_171008_enriched_candles.csv,GAP,1395300
TLMUSDT,5m,TLMUSDT_5m_limit100_20260703_201211_enriched_candles.csv,TLMUSDT_5m_limit500_20260719_171008_enriched_candles.csv,GAP,1221900
USUSDT,5m,USUSDT_5m_limit100_20260706_200150_enriched_candles.csv,USUSDT_5m_limit100_20260706_201404_enriched_candles.csv,PARTIAL_OVERLAP,28800
USUSDT,5m,USUSDT_5m_limit100_20260706_200150_enriched_candles.csv,USUSDT_5m_limit20_20260706_192710_enriched_candles.csv,A_CONTAINS_B,0
USUSDT,5m,USUSDT_5m_limit100_20260706_200150_enriched_candles.csv,USUSDT_5m_limit50_20260709_180550_enriched_candles.csv,GAP,237900
USUSDT,5m,USUSDT_5m_limit100_20260706_201404_enriched_candles.csv,USUSDT_5m_limit20_20260706_192710_enriched_candles.csv,A_CONTAINS_B,0
USUSDT,5m,USUSDT_5m_limit100_20260706_201404_enriched_candles.csv,USUSDT_5m_limit50_20260709_180550_enriched_candles.csv,GAP,237300
USUSDT,5m,USUSDT_5m_limit20_20260706_192710_enriched_candles.csv,USUSDT_5m_limit50_20260709_180550_enriched_candles.csv,GAP,240000
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.csv,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.jsonl,EXACT_COVERAGE,0
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.csv,PARTIAL_OVERLAP,12600
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.jsonl,PARTIAL_OVERLAP,12600
