account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.8082,21,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6283,Medium,0.04615629,1.8043,166,27617476.0,-0.01,OI ثابت,Mixed Structure,1.8873,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-19 02:30:00 UTC,1034
1.8114,20,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6285,Medium,0.04582339,1.8193,167,27614380.0,-0.01,OI ثابت,Mixed Structure,1.8867,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-19 02:45:00 UTC,1783
1.8305,19,True,Not Applicable: Reset branch has priority,Distribution Risk,0.6228,Medium,0.05539499,1.8377,168,27613883.0,-0.0017997869226106108,OI ثابت,Failed Base Ignition,1.8858,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 03:00:00 UTC,1321
1.8305,18,True,Not Applicable: Reset branch has priority,Distribution Risk,0.6213,Medium,0.05794302,1.8329,169,27600821.0,-0.05,OI ثابت,Failed Base Ignition,1.8868,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 03:15:00 UTC,1533
1.8417,17,True,Not Applicable: Reset branch has priority,Distribution Risk,0.6209,Medium,0.05862458,1.8393,170,27589178.0,-0.04,OI ثابت,Failed Base Ignition,1.8869,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 03:30:00 UTC,1914
1.8297,16,True,Not Applicable: Reset branch has priority,Distribution Risk,0.6192,Medium,0.06153101,1.8265,171,27575627.0,-0.05,OI ثابت,Failed Base Ignition,1.8905,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 03:45:00 UTC,8134
1.8265,15,True,Failed Base Vacuum Ignition,Distribution Risk,0.6106,Medium,0.07648215,1.8066,172,27518335.0,-0.21,OI Flush,Failed Base Ignition,1.9001,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 04:00:00 UTC,4512
1.7917,14,False,Not Applicable: No Base,Bearish Structural Risk,0.6139,Medium,0.07069555,1.784,173,27478698.0,-0.14,OI Flush,Liquidity Exit / Decay,1.9041,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,BEATUSDT,2026-05-19 04:15:00 UTC,12397
1.8523,13,False,Not Applicable: No Base,Bullish but Late,0.6026,Low,0.09077332,1.7964,174,27493048.0,0.05,OI ثابت,Late Long Crowding,1.9009,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,EVENT_START,False,BEATUSDT,2026-05-19 04:30:00 UTC,6616
1.8498,12,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6156,Medium,0.06773879,1.8074,175,27493641.0,0.0021569089029342984,OI ثابت,Mixed Structure,1.9024,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,BEATUSDT,2026-05-19 04:45:00 UTC,19570
1.8612,11,False,Not Applicable: No Base,Neutral / Unclear,0.6262,Medium,0.04966464,1.7917,176,27411179.0,-0.3,OI Flush,Mixed Structure,1.9225,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,False,BEATUSDT,2026-05-19 05:00:00 UTC,8673
